No. Preg,Efectividad
21,76.69172932
22,64.66165414
23,76.69172932
24,38.34586466
25,65.41353383
26,56.39097744
27,69.17293233
28,56.39097744
29,75.93984962
30,73.68421053
31,70.67669173
32,71.42857143
33,78.19548872
34,60.15037594
35,63.15789474
36,66.91729323
37,55.63909774
38,45.86466165
39,68.42105263
40,16.54135338
41,82.70676692
42,96.9924812
43,66.91729323
44,85.71428571
45,64.66165414
46,75.18796992
47,26.31578947
48,12.03007519
49,80.45112782
50,39.84962406
66,53.38345865
67,53.38345865
68,55.63909774
69,45.86466165
70,50.37593985
71,78.19548872
72,50.37593985
73,24.81203008
74,44.36090226
75,39.09774436
76,40.60150376
77,24.06015038
78,66.16541353
79,22.55639098
80,51.12781955
81,12.78195489
82,13.53383459
83,24.81203008
84,12.03007519
85,10.52631579
86,38.34586466
87,10.52631579
88,30.82706767
89,23.30827068
90,12.78195489
91,18.04511278
92,15.03759398
93,7.518796992
94,19.54887218
95,9.022556391
